STEM ATTACHMENT ANALYSIS

candidates=297
accepted=188
unmatched=109
cross-staff=0
ambiguous-direction=0
noteheads-attached=301/301

ACCEPTED STEMS
shape-655: attached-stem; m8; from=(1806.01,1493.67) to=(1806.01,1604.07); length=4.58sp; width=0.110sp; vertical-ratio=0.000; direction=Down; cross-staff=False; noteheads=[shape-876/s2,shape-878/s2,shape-877/s2,shape-875/s2]; confidence=84.0 %; vertical stroke touches 4 notehead(s); best edge distance=0.095sp; vertical-ratio=0.000; width=0.110sp; direction=Down; ownership-span=False; cross-staff=False
shape-575: attached-stem; m8; from=(1834.69,1222.45) to=(1834.69,1326.94); length=4.34sp; width=0.110sp; vertical-ratio=0.000; direction=Up; cross-staff=False; noteheads=[shape-805/s1,shape-807/s1,shape-806/s1,shape-698/s1,shape-699/s1]; confidence=84.1 %; vertical stroke touches 5 notehead(s); best edge distance=0.094sp; vertical-ratio=0.000; width=0.110sp; direction=Up; ownership-span=False; cross-staff=False
shape-656: attached-stem; m8; from=(1897.05,1493.67) to=(1897.05,1604.07); length=4.58sp; width=0.110sp; vertical-ratio=0.000; direction=Down; cross-staff=False; noteheads=[shape-868/s2,shape-870/s2,shape-869/s2,shape-867/s2]; confidence=84.0 %; vertical stroke touches 4 notehead(s); best edge distance=0.095sp; vertical-ratio=0.000; width=0.110sp; direction=Down; ownership-span=False; cross-staff=False
shape-522: attached-stem; m8; from=(1925.73,1216.27) to=(1925.73,1326.94); length=4.59sp; width=0.110sp; vertical-ratio=0.000; direction=Up; cross-staff=False; noteheads=[shape-793/s1,shape-797/s1,shape-796/s1,shape-798/s1,shape-799/s1]; confidence=84.1 %; vertical stroke touches 5 notehead(s); best edge distance=0.094sp; vertical-ratio=0.000; width=0.110sp; direction=Up; ownership-span=False; cross-staff=False
shape-657: attached-stem; m8; from=(2000.72,1481.62) to=(2000.72,1604.07); length=5.08sp; width=0.110sp; vertical-ratio=0.000; direction=Down; cross-staff=False; noteheads=[shape-861/s2,shape-863/s2,shape-862/s2,shape-864/s2,shape-860/s2]; confidence=84.0 %; vertical stroke touches 5 notehead(s); best edge distance=0.095sp; vertical-ratio=0.000; width=0.110sp; direction=Down; ownership-span=False; cross-staff=False
shape-571: attached-stem; m8; from=(2029.39,1210.39) to=(2029.39,1326.94); length=4.84sp; width=0.110sp; vertical-ratio=0.000; direction=Up; cross-staff=False; noteheads=[shape-780/s1,shape-782/s1,shape-778/s1,shape-781/s1,shape-783/s1,shape-678/s1]; confidence=84.1 %; vertical stroke touches 6 notehead(s); best edge distance=0.094sp; vertical-ratio=0.000; width=0.110sp; direction=Up; ownership-span=False; cross-staff=False
shape-582: attached-stem; m9; from=(2149.17,1298.70) to=(2149.17,1378.98); length=3.33sp; width=0.110sp; vertical-ratio=0.000; direction=Down; cross-staff=False; noteheads=[shape-831/s1]; confidence=77.0 %; vertical stroke touches 1 notehead(s); best edge distance=0.100sp; vertical-ratio=0.000; width=0.110sp; direction=Down; ownership-span=False; cross-staff=False
shape-488: attached-stem; m9; from=(2177.84,1168.07) to=(2177.84,1254.65); length=3.59sp; width=0.110sp; vertical-ratio=0.000; direction=Up; cross-staff=False; noteheads=[shape-770/s1,shape-771/s1]; confidence=84.1 %; vertical stroke touches 2 notehead(s); best edge distance=0.094sp; vertical-ratio=0.000; width=0.110sp; direction=Up; ownership-span=False; cross-staff=False
shape-658: attached-stem; m9; from=(2177.84,1465.53) to=(2177.84,1594.19); length=5.34sp; width=0.110sp; vertical-ratio=0.000; direction=Up; cross-staff=False; noteheads=[shape-856/s2,shape-857/s2]; confidence=84.1 %; vertical stroke touches 2 notehead(s); best edge distance=0.094sp; vertical-ratio=0.000; width=0.110sp; direction=Up; ownership-span=False; cross-staff=False
shape-507: attached-stem; m9; from=(2268.89,1162.22) to=(2268.89,1242.61); length=3.34sp; width=0.110sp; vertical-ratio=0.000; direction=Up; cross-staff=False; noteheads=[shape-756/s1,shape-758/s1]; confidence=84.1 %; vertical stroke touches 2 notehead(s); best edge distance=0.094sp; vertical-ratio=0.000; width=0.110sp; direction=Up; ownership-span=False; cross-staff=False
shape-668: attached-stem; m9; from=(2331.25,1493.67) to=(2331.25,1610.09); length=4.83sp; width=0.110sp; vertical-ratio=0.000; direction=Down; cross-staff=False; noteheads=[shape-976/s2,shape-978/s2]; confidence=84.0 %; vertical stroke touches 2 notehead(s); best edge distance=0.095sp; vertical-ratio=0.000; width=0.110sp; direction=Down; ownership-span=False; cross-staff=False
shape-513: attached-stem; m9; from=(2359.93,1162.13) to=(2359.93,1242.61); length=3.34sp; width=0.110sp; vertical-ratio=0.000; direction=Up; cross-staff=False; noteheads=[shape-752/s1,shape-772/s1]; confidence=84.1 %; vertical stroke touches 2 notehead(s); best edge distance=0.094sp; vertical-ratio=0.000; width=0.110sp; direction=Up; ownership-span=False; cross-staff=False
