BEAM ATTACHMENT ANALYSIS

candidates=55
accepted=52
rejected=3
hooks=1
cross-staff=0
level-1=45
level-2=6
level-3=1
level-4+=0

ACCEPTED BEAMS
shape-1119: attached-primary-beam; m19; level=1; from=(2284.02,3086.11) to=(2360.06,3076.92); length=3.61sp; width=0.577sp; slope=-0.121; left=True; right=True; hook=False; cross-staff=False; stems=[shape-600@0.04sp,shape-603@0.00sp]; confidence=87.4 %; beam-like stroke intersects 2 stem(s); left-supported=True; right-supported=True; width=0.577sp; slope=-0.121; level=1 from per-stem rank(s) [1,1]; first-level beam has both ends supported by stems
shape-1064: attached-primary-beam; m21; level=1; from=(445.62,3537.24) to=(532.69,3533.63); length=4.10sp; width=0.581sp; slope=-0.041; left=True; right=True; hook=False; cross-staff=False; stems=[shape-536@0.04sp,shape-533@0.00sp]; confidence=89.3 %; beam-like stroke intersects 2 stem(s); left-supported=True; right-supported=True; width=0.581sp; slope=-0.041; level=1 from per-stem rank(s) [1,1]; first-level beam has both ends supported by stems
shape-1101: attached-secondary-beam; m21; level=2; from=(445.72,3830.32) to=(579.52,3826.76); length=6.30sp; width=0.583sp; slope=-0.027; left=True; right=True; hook=False; cross-staff=False; stems=[shape-607@0.79sp,shape-609@0.77sp,shape-610@0.74sp,shape-615@0.71sp]; confidence=89.6 %; beam-like stroke intersects 4 stem(s); left-supported=True; right-supported=True; width=0.583sp; slope=-0.027; level=2 from per-stem rank(s) [2,2,2,2]; both beam ends terminate at stems
shape-1100: attached-primary-beam; m21; level=1; from=(445.72,3846.25) to=(579.52,3842.69); length=6.30sp; width=0.583sp; slope=-0.027; left=True; right=True; hook=False; cross-staff=False; stems=[shape-607@0.04sp,shape-609@0.02sp,shape-610@0.00sp,shape-615@0.00sp]; confidence=89.6 %; beam-like stroke intersects 4 stem(s); left-supported=True; right-supported=True; width=0.583sp; slope=-0.027; level=1 from per-stem rank(s) [1,1,1,1]; first-level beam has both ends supported by stems
shape-1107: attached-primary-beam; m23; level=1; from=(1424.63,3803.82) to=(1490.55,3800.15); length=3.11sp; width=0.580sp; slope=-0.056; left=True; right=True; hook=False; cross-staff=False; stems=[shape-624@0.04sp,shape-625@0.00sp]; confidence=89.0 %; beam-like stroke intersects 2 stem(s); left-supported=True; right-supported=True; width=0.580sp; slope=-0.056; level=1 from per-stem rank(s) [1,1]; first-level beam has both ends supported by stems
shape-1112: attached-primary-beam; m23; level=1; from=(1543.39,3809.34) to=(1603.65,3799.94); length=2.87sp; width=0.572sp; slope=-0.156; left=True; right=True; hook=False; cross-staff=False; stems=[shape-628@0.03sp,shape-630@0.00sp]; confidence=86.8 %; beam-like stroke intersects 2 stem(s); left-supported=True; right-supported=True; width=0.572sp; slope=-0.156; level=1 from per-stem rank(s) [1,1]; first-level beam has both ends supported by stems

REJECTED BEAM-LIKE STROKES
shape-1043: no-intersecting-stem; m26; level=-; from=(2366.94,3500.96) to=(2394.55,3500.96); length=1.30sp; width=0.544sp; slope=0.000; left=False; right=False; hook=False; cross-staff=False; stems=[-]; confidence=0.0 %; beam-like horizontal stroke does not intersect any accepted stem in the same measure
shape-1045: no-intersecting-stem; m26; level=-; from=(2366.94,3553.89) to=(2394.55,3553.89); length=1.30sp; width=0.544sp; slope=0.000; left=False; right=False; hook=False; cross-staff=False; stems=[-]; confidence=0.0 %; beam-like horizontal stroke does not intersect any accepted stem in the same measure
shape-1046: no-intersecting-stem; m26; level=-; from=(2493.50,3553.89) to=(2521.11,3553.89); length=1.30sp; width=0.544sp; slope=0.000; left=False; right=False; hook=False; cross-staff=False; stems=[-]; confidence=0.0 %; beam-like horizontal stroke does not intersect any accepted stem in the same measure
