OWNERSHIP RENDER DIAGNOSTICS
owned=no                   => ownership algorithm did not assign the shape
owned=yes rendered=no      => renderer/source mapping problem
mode=compound-component    => this split component was rendered with its own ownership color
mode=neutral-layout        => staff/bar layout geometry intentionally remains black
mode=compound-dominant     => component rendering was impossible; one fallback color was chosen
color-match=no             => shape has ownership, but fallback compound source used another color

SUMMARY
Stroke        total= 626 owned= 625 rendered= 625 exact-color= 625
CurvedStroke  total=  39 owned=  37 rendered=  37 exact-color=  37
EllipseLike   total= 417 owned= 409 rendered= 409 exact-color= 409
ShapeInstance total= 271 owned= 217 rendered= 217 exact-color= 217

DETAILS
shape-1188   EllipseLike   owned=yes staff-3+staff-pair-2-measure-5         g1 rendered=yes; mode=direct; displayed=staff-3+staff-pair-2-measure-5; color-match=yes; source=<path>
shape-1189   EllipseLike   owned=yes staff-5+staff-pair-3-measure-5         g1 rendered=yes; mode=direct; displayed=staff-5+staff-pair-3-measure-5; color-match=yes; source=<path>
shape-1190   EllipseLike   owned=yes staff-5+staff-pair-3-measure-4         g1 rendered=yes; mode=direct; displayed=staff-5+staff-pair-3-measure-4; color-match=yes; source=<path>
shape-1191   EllipseLike   owned=yes staff-2+staff-pair-1-measure-1         g2 rendered=yes; mode=direct; displayed=staff-2+staff-pair-1-measure-1; color-match=yes; source=<path>
shape-1192   EllipseLike   owned=yes staff-4+staff-pair-2-measure-1         g2 rendered=yes; mode=direct; displayed=staff-4+staff-pair-2-measure-1; color-match=yes; source=<path>
shape-1193   EllipseLike   owned=yes staff-4+staff-pair-2-measure-1         g1 rendered=yes; mode=direct; displayed=staff-4+staff-pair-2-measure-1; color-match=yes; source=<path>
shape-1194   EllipseLike   owned=yes staff-2+staff-pair-1-measure-1         g2 rendered=yes; mode=direct; displayed=staff-2+staff-pair-1-measure-1; color-match=yes; source=<path>
shape-1195   EllipseLike   owned=yes staff-2+staff-pair-1-measure-5         g2 rendered=yes; mode=direct; displayed=staff-2+staff-pair-1-measure-5; color-match=yes; source=<path>
shape-1196   EllipseLike   owned=yes staff-6+staff-pair-3-measure-1         g2 rendered=yes; mode=direct; displayed=staff-6+staff-pair-3-measure-1; color-match=yes; source=<path>
shape-1197   EllipseLike   owned=yes staff-2+staff-pair-1-measure-5         g2 rendered=yes; mode=direct; displayed=staff-2+staff-pair-1-measure-5; color-match=yes; source=<path>
shape-1198   EllipseLike   owned=yes staff-2+staff-pair-1-measure-4         g2 rendered=yes; mode=direct; displayed=staff-2+staff-pair-1-measure-4; color-match=yes; source=<path>
shape-1199   EllipseLike   owned=yes staff-4+staff-pair-2-measure-5         g2 rendered=yes; mode=direct; displayed=staff-4+staff-pair-2-measure-5; color-match=yes; source=<path>
shape-1200   EllipseLike   owned=yes staff-4+staff-pair-2-measure-4         g1 rendered=yes; mode=direct; displayed=staff-4+staff-pair-2-measure-4; color-match=yes; source=<path>
shape-1201   EllipseLike   owned=yes staff-2+staff-pair-1-measure-4         g1 rendered=yes; mode=direct; displayed=staff-2+staff-pair-1-measure-4; color-match=yes; source=<path>
shape-1202   EllipseLike   owned=yes staff-4+staff-pair-2-measure-5         g1 rendered=yes; mode=direct; displayed=staff-4+staff-pair-2-measure-5; color-match=yes; source=<path>
shape-1203   EllipseLike   owned=yes staff-10+staff-pair-5-measure-2        g1 rendered=yes; mode=direct; displayed=staff-10+staff-pair-5-measure-2; color-match=yes; source=<path>
shape-1204   EllipseLike   owned=yes staff-6+staff-pair-3-measure-2         g1 rendered=yes; mode=direct; displayed=staff-6+staff-pair-3-measure-2; color-match=yes; source=<path>
shape-1205   EllipseLike   owned=yes staff-10+staff-pair-5-measure-2        g2 rendered=yes; mode=direct; displayed=staff-10+staff-pair-5-measure-2; color-match=yes; source=<path>
shape-1206   EllipseLike   owned=yes staff-10+staff-pair-5-measure-2        g2 rendered=yes; mode=direct; displayed=staff-10+staff-pair-5-measure-2; color-match=yes; source=<path>
shape-1207   EllipseLike   owned=yes staff-8+staff-pair-4-measure-5         g2 rendered=yes; mode=direct; displayed=staff-8+staff-pair-4-measure-5; color-match=yes; source=<path>
shape-1208   EllipseLike   owned=yes staff-10+staff-pair-5-measure-4        g2 rendered=yes; mode=direct; displayed=staff-10+staff-pair-5-measure-4; color-match=yes; source=<path>
shape-1209   EllipseLike   owned=yes staff-10+staff-pair-5-measure-2        g2 rendered=yes; mode=direct; displayed=staff-10+staff-pair-5-measure-2; color-match=yes; source=<path>
