shape-116    Stroke        g1 staff-2+staff-pair-1-measure-4 -> staff-2+staff-pair-1-measure-5 reason=DirectIntersection; parent=-; distance=0.000
shape-117    Stroke        g1 staff-6+staff-pair-3-measure-1 -> staff-6+staff-pair-3-measure-1 reason=DirectIntersection; parent=-; distance=0.000
shape-118    Stroke        g1 staff-6+staff-pair-3-measure-5 -> staff-6+staff-pair-3-measure-5 reason=DirectIntersection; parent=-; distance=0.000
shape-119    Stroke        g1 staff-6+staff-pair-3-measure-1 -> staff-6+staff-pair-3-measure-2 reason=DirectIntersection; parent=-; distance=0.000
shape-120    Stroke        g1 staff-4+staff-pair-2-measure-2 -> staff-4+staff-pair-2-measure-3 reason=DirectIntersection; parent=-; distance=0.000
shape-121    Stroke        g1 staff-8+staff-pair-4-measure-1 -> staff-8+staff-pair-4-measure-1 reason=DirectIntersection; parent=-; distance=0.000
shape-122    Stroke        g1 staff-10+staff-pair-5-measure-1 -> staff-10+staff-pair-5-measure-1 reason=DirectIntersection; parent=-; distance=0.000
shape-123    Stroke        g1 staff-4+staff-pair-2-measure-1 -> staff-4+staff-pair-2-measure-2 reason=DirectIntersection; parent=-; distance=0.000
shape-124    Stroke        g1 staff-2+staff-pair-1-measure-1 -> staff-2+staff-pair-1-measure-2 reason=DirectIntersection; parent=-; distance=0.000
shape-125    Stroke        g1 staff-6+staff-pair-3-measure-3 -> staff-6+staff-pair-3-measure-4 reason=DirectIntersection; parent=-; distance=0.000
shape-126    CurvedStroke  g1 staff-8+staff-pair-4-measure-1 -> staff-8+staff-pair-4-measure-1 reason=DirectIntersection; parent=-; distance=0.000
shape-127    CurvedStroke  g1 staff-5+staff-pair-3-measure-1 -> staff-5+staff-pair-3-measure-2 reason=DirectIntersection; parent=-; distance=0.000
shape-128    CurvedStroke  g1 staff-5+staff-pair-3-measure-1 -> staff-5+staff-pair-3-measure-2 reason=DirectIntersection; parent=-; distance=0.000
shape-129    CurvedStroke  g1 staff-5+staff-pair-3-measure-1 -> staff-5+staff-pair-3-measure-2 reason=DirectIntersection; parent=-; distance=0.000
shape-130    CurvedStroke  g2 staff-6+staff-pair-3-measure-4 -> staff-6+staff-pair-3-measure-4 reason=Proximity; parent=shape-131; distance=0.000
shape-131    CurvedStroke  g1 staff-6+staff-pair-3-measure-4 -> staff-6+staff-pair-3-measure-4 reason=DirectIntersection; parent=-; distance=0.000
shape-132    CurvedStroke  g2 staff-8+staff-pair-4-measure-3 -> staff-8+staff-pair-4-measure-3 reason=Proximity; parent=shape-133; distance=0.000
shape-133    CurvedStroke  g1 staff-8+staff-pair-4-measure-3 -> staff-8+staff-pair-4-measure-3 reason=DirectIntersection; parent=-; distance=0.000
shape-134    CurvedStroke  g2 staff-10+staff-pair-5-measure-1 -> staff-10+staff-pair-5-measure-2 reason=Proximity; parent=shape-152; distance=0.000
shape-135    CurvedStroke  g1 staff-8+staff-pair-4-measure-2 -> staff-8+staff-pair-4-measure-2 reason=DirectIntersection; parent=-; distance=0.000
shape-136    CurvedStroke  g1 staff-10+staff-pair-5-measure-1 -> staff-10+staff-pair-5-measure-2 reason=DirectIntersection; parent=-; distance=0.000
shape-137    CurvedStroke  g1 staff-10+staff-pair-5-measure-1 -> staff-10+staff-pair-5-measure-1 reason=DirectIntersection; parent=-; distance=0.000
shape-138    CurvedStroke  g1 staff-10+staff-pair-5-measure-1 -> staff-10+staff-pair-5-measure-1 reason=DirectIntersection; parent=-; distance=0.000
shape-139    CurvedStroke  g1 staff-6+staff-pair-3-measure-5 -> staff-6+staff-pair-3-measure-5 reason=DirectIntersection; parent=-; distance=0.000
shape-140    CurvedStroke  g1 staff-8+staff-pair-4-measure-3 -> staff-8+staff-pair-4-measure-3 reason=DirectIntersection; parent=-; distance=0.000
shape-141    CurvedStroke  g1 staff-8+staff-pair-4-measure-3 -> staff-8+staff-pair-4-measure-3 reason=DirectIntersection; parent=-; distance=0.000
shape-142    CurvedStroke  g1 staff-10+staff-pair-5-measure-1 -> staff-10+staff-pair-5-measure-1 reason=DirectIntersection; parent=-; distance=0.000
shape-143    CurvedStroke  g1 staff-6+staff-pair-3-measure-1 -> staff-6+staff-pair-3-measure-2 reason=DirectIntersection; parent=-; distance=0.000
shape-144    CurvedStroke  g1 staff-10+staff-pair-5-measure-1 -> staff-10+staff-pair-5-measure-2 reason=DirectIntersection; parent=-; distance=0.000
shape-145    CurvedStroke  g2 staff-8+staff-pair-4-measure-2 -> staff-8+staff-pair-4-measure-2 reason=Proximity; parent=shape-839; distance=0.000
shape-146    CurvedStroke  g2 staff-10+staff-pair-5-measure-1 -> staff-10+staff-pair-5-measure-1 reason=Proximity; parent=shape-142; distance=0.000
shape-147    CurvedStroke  g1 staff-8+staff-pair-4-measure-2 -> staff-8+staff-pair-4-measure-2 reason=DirectIntersection; parent=-; distance=0.000
shape-148    CurvedStroke  g1 staff-10+staff-pair-5-measure-1 -> staff-10+staff-pair-5-measure-1 reason=DirectIntersection; parent=-; distance=0.000
shape-149    CurvedStroke  g1 staff-6+staff-pair-3-measure-2 -> staff-6+staff-pair-3-measure-2 reason=DirectIntersection; parent=-; distance=0.000
shape-150    CurvedStroke  g2 staff-8+staff-pair-4-measure-2 -> staff-8+staff-pair-4-measure-2 reason=Proximity; parent=shape-839; distance=0.000
shape-151    CurvedStroke  g2 staff-6+staff-pair-3-measure-2 -> staff-6+staff-pair-3-measure-2 reason=Proximity; parent=shape-149; distance=0.000
shape-152    CurvedStroke  g1 staff-10+staff-pair-5-measure-1 -> staff-10+staff-pair-5-measure-2 reason=DirectIntersection; parent=-; distance=0.000
shape-153    CurvedStroke  g2 staff-6+staff-pair-3-measure-5 -> staff-6+staff-pair-3-measure-5 reason=Proximity; parent=shape-913; distance=0.000
shape-154    CurvedStroke  g2 staff-6+staff-pair-3-measure-5 -> staff-6+staff-pair-3-measure-5 reason=Proximity; parent=shape-904; distance=0.000
shape-155    CurvedStroke  g1 staff-6+staff-pair-3-measure-5 -> staff-6+staff-pair-3-measure-5 reason=DirectIntersection; parent=-; distance=0.000
shape-170    ShapeInstance g1 staff-5+staff-pair-3-measure-5 -> staff-5+staff-pair-3-measure-5 reason=DirectIntersection; parent=-; distance=0.000
shape-171    ShapeInstance g1 staff-1+staff-pair-1-measure-2 -> staff-1+staff-pair-1-measure-2 reason=DirectIntersection; parent=-; distance=0.000
shape-172    ShapeInstance g1 staff-9+staff-pair-5-measure-5 -> staff-9+staff-pair-5-measure-5 reason=DirectIntersection; parent=-; distance=0.000
shape-173    ShapeInstance g1 staff-3+staff-pair-2-measure-4 -> staff-3+staff-pair-2-measure-4 reason=DirectIntersection; parent=-; distance=0.000
shape-174    ShapeInstance g1 staff-9+staff-pair-5-measure-3 -> staff-9+staff-pair-5-measure-3 reason=DirectIntersection; parent=-; distance=0.000
shape-175    ShapeInstance g1 staff-5+staff-pair-3-measure-5 -> staff-5+staff-pair-3-measure-5 reason=DirectIntersection; parent=-; distance=0.000
shape-176    ShapeInstance g1 staff-1+staff-pair-1-measure-5 -> staff-1+staff-pair-1-measure-5 reason=DirectIntersection; parent=-; distance=0.000
