shape-131    Stroke        g1 staff-3+staff-pair-2-measure-1 -> staff-3+staff-pair-2-measure-1 reason=DirectIntersection; parent=-; distance=0.000
shape-132    EllipseLike   g1 staff-3+staff-pair-2-measure-1 -> staff-3+staff-pair-2-measure-1 reason=DirectIntersection; parent=-; distance=0.000
shape-133    EllipseLike   g1 staff-3+staff-pair-2-measure-1 -> staff-3+staff-pair-2-measure-1 reason=DirectIntersection; parent=-; distance=0.000
shape-134    Stroke        g1 staff-3+staff-pair-2-measure-1 -> staff-3+staff-pair-2-measure-1 reason=DirectIntersection; parent=-; distance=0.000
shape-135    EllipseLike   g1 staff-3+staff-pair-2-measure-1 -> staff-3+staff-pair-2-measure-1 reason=DirectIntersection; parent=-; distance=0.000
shape-136    ShapeInstance g1 staff-3+staff-pair-2-measure-1 -> staff-3+staff-pair-2-measure-1 reason=DirectIntersection; parent=-; distance=0.000
shape-137    Stroke        g1 staff-3+staff-pair-2-measure-1 -> staff-3+staff-pair-2-measure-1 reason=DirectIntersection; parent=-; distance=0.000
shape-138    Stroke        g1 staff-3+staff-pair-2-measure-1 -> staff-3+staff-pair-2-measure-1 reason=DirectIntersection; parent=-; distance=0.000
shape-139    EllipseLike   g1 staff-3+staff-pair-2-measure-1 -> staff-3+staff-pair-2-measure-1 reason=DirectIntersection; parent=-; distance=0.000
shape-140    Stroke        g1 staff-3+staff-pair-2-measure-1 -> staff-3+staff-pair-2-measure-1 reason=DirectIntersection; parent=-; distance=0.000
shape-141    EllipseLike   g1 staff-3+staff-pair-2-measure-1 -> staff-3+staff-pair-2-measure-1 reason=DirectIntersection; parent=-; distance=0.000
shape-142    EllipseLike   g1 staff-4+staff-pair-2-measure-1 -> staff-4+staff-pair-2-measure-1 reason=DirectIntersection; parent=-; distance=0.000
shape-143    EllipseLike   g1 staff-4+staff-pair-2-measure-1 -> staff-4+staff-pair-2-measure-1 reason=DirectIntersection; parent=-; distance=0.000
shape-144    Stroke        g1 staff-4+staff-pair-2-measure-1 -> staff-4+staff-pair-2-measure-1 reason=DirectIntersection; parent=-; distance=0.000
shape-145    EllipseLike   g1 staff-4+staff-pair-2-measure-1 -> staff-4+staff-pair-2-measure-1 reason=DirectIntersection; parent=-; distance=0.000
shape-146    EllipseLike   g1 staff-4+staff-pair-2-measure-1 -> staff-4+staff-pair-2-measure-1 reason=DirectIntersection; parent=-; distance=0.000
shape-147    ShapeInstance g1 staff-4+staff-pair-2-measure-1 -> staff-4+staff-pair-2-measure-1 reason=DirectIntersection; parent=-; distance=0.000
shape-148    EllipseLike   g1 staff-3+staff-pair-2-measure-2 -> staff-3+staff-pair-2-measure-2 reason=DirectIntersection; parent=-; distance=0.000
shape-149    Stroke        g1 staff-3+staff-pair-2-measure-2 -> staff-3+staff-pair-2-measure-2 reason=DirectIntersection; parent=-; distance=0.000
shape-150    EllipseLike   g1 staff-3+staff-pair-2-measure-2 -> staff-3+staff-pair-2-measure-2 reason=DirectIntersection; parent=-; distance=0.000
shape-151    ShapeInstance g1 staff-3+staff-pair-2-measure-2 -> staff-3+staff-pair-2-measure-2 reason=DirectIntersection; parent=-; distance=0.000
shape-152    ShapeInstance g1 staff-3+staff-pair-2-measure-2 -> staff-3+staff-pair-2-measure-2 reason=DirectIntersection; parent=-; distance=0.000
shape-153    Stroke        g1 staff-3+staff-pair-2-measure-2 -> staff-3+staff-pair-2-measure-2 reason=DirectIntersection; parent=-; distance=0.000
shape-154    EllipseLike   g1 staff-3+staff-pair-2-measure-2 -> staff-3+staff-pair-2-measure-2 reason=DirectIntersection; parent=-; distance=0.000
shape-155    EllipseLike   g1 staff-3+staff-pair-2-measure-2 -> staff-3+staff-pair-2-measure-2 reason=DirectIntersection; parent=-; distance=0.000
shape-156    Stroke        g1 staff-3+staff-pair-2-measure-2 -> staff-3+staff-pair-2-measure-2 reason=DirectIntersection; parent=-; distance=0.000
shape-157    EllipseLike   g1 staff-3+staff-pair-2-measure-2 -> staff-3+staff-pair-2-measure-2 reason=DirectIntersection; parent=-; distance=0.000
shape-158    Stroke        g1 staff-3+staff-pair-2-measure-2 -> staff-3+staff-pair-2-measure-2 reason=DirectIntersection; parent=-; distance=0.000
shape-159    Stroke        g1 staff-3+staff-pair-2-measure-2 -> staff-3+staff-pair-2-measure-2 reason=DirectIntersection; parent=-; distance=0.000
shape-160    EllipseLike   g1 staff-3+staff-pair-2-measure-2 -> staff-3+staff-pair-2-measure-2 reason=DirectIntersection; parent=-; distance=0.000
